time,logger,level,database,message,exception
2013-05-27 10:25:25.9659,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on DetectFaceInfos/65 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: detectfaceinfos/65
	Tag I-: DetectFaceInfos
	LastModified I-: 2013-05-27T02:25:25.4668864Z
",
2013-05-27 10:25:26.2639,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-27 10:25:26.2639,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000002 for Raven/DocumentsByEntityName",
2013-05-27 10:25:26.2639,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 4 because: WORK BY IndexingExecuter,
2013-05-27 10:25:26.2639,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:26.2639,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 4, for: IndexingExecuter, will wait for additional work",
2013-05-27 10:25:40.0847,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'DetectFaceInfos/66', update: False, ",
2013-05-27 10:25:40.0847,Raven.Database.DocumentDatabase,Debug,<system>,Put document DetectFaceInfos/66 with etag 00000001-0000-0400-0000-000000000003,
2013-05-27 10:25:40.0847,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 5 because: PUT DetectFaceInfos/66,
2013-05-27 10:25:40.0847,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0058000,
2013-05-27 10:25:40.0847,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000002: (DetectFaceInfos/66),
2013-05-27 10:25:40.0847,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:40.0847,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:25:40.0847,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000002: (DetectFaceInfos/66)",
2013-05-27 10:25:40.0847,Raven.Database.Server.HttpServer,Debug,,Request #   5: POST    -     7 ms - <system>   - 200 - /bulk_docs,
2013-05-27 10:25:40.0847,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (DetectFaceInfos/66),
2013-05-27 10:25:40.0847,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on DetectFaceInfos/66 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: detectfaceinfos/66
	Tag I-: DetectFaceInfos
	LastModified I-: 2013-05-27T02:25:40.0847225Z
",
2013-05-27 10:25:40.0847,Raven.Database.Server.HttpServer,Debug,,"	PUT DetectFaceInfos/66
",
2013-05-27 10:25:40.1087,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-27 10:25:40.1087,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000003 for Raven/DocumentsByEntityName",
2013-05-27 10:25:40.1087,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 6 because: WORK BY IndexingExecuter,
2013-05-27 10:25:40.1087,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 6, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:40.1087,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 6, for: IndexingExecuter, will wait for additional work",
2013-05-27 10:25:40.4097,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'DetectFaceInfos/67', update: False, ",
2013-05-27 10:25:40.4097,Raven.Database.DocumentDatabase,Debug,<system>,Put document DetectFaceInfos/67 with etag 00000001-0000-0400-0000-000000000004,
2013-05-27 10:25:40.4097,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 7 because: PUT DetectFaceInfos/67,
2013-05-27 10:25:40.4097,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0013277,
2013-05-27 10:25:40.4097,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000003: (DetectFaceInfos/67),
2013-05-27 10:25:40.4097,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:40.4097,Raven.Database.Server.HttpServer,Debug,,Request #   6: POST    -     2 ms - <system>   - 200 - /bulk_docs,
2013-05-27 10:25:40.4097,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:25:40.4097,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000003: (DetectFaceInfos/67)",
2013-05-27 10:25:40.4097,Raven.Database.Server.HttpServer,Debug,,"	PUT DetectFaceInfos/67
",
2013-05-27 10:25:40.4097,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (DetectFaceInfos/67),
2013-05-27 10:25:40.4097,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on DetectFaceInfos/67 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: detectfaceinfos/67
	Tag I-: DetectFaceInfos
	LastModified I-: 2013-05-27T02:25:40.4097411Z
",
2013-05-27 10:25:40.4187,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-27 10:25:40.4187,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000004 for Raven/DocumentsByEntityName",
2013-05-27 10:25:40.4187,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 8 because: WORK BY IndexingExecuter,
2013-05-27 10:25:40.4187,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 8, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:40.4187,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 8, for: IndexingExecuter, will wait for additional work",
2013-05-27 10:26:33.1938,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-05-27 10:26:33.1938,Raven.Database.Server.HttpServer,Debug,,Request #   7: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-05-27 10:26:34.2038,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-05-27 10:26:34.2038,Raven.Database.Server.HttpServer,Debug,,Request #   8: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-05-27 10:26:45.6224,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Hilo/DetectFaceInfos' was found,
2013-05-27 10:26:45.6224,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/ServerPrefixForHilo' was not found,
2013-05-27 10:26:45.6224,Raven.Database.Server.HttpServer,Debug,,Request #   9: GET     -     1 ms - <system>   - 200 - /queries/?&id=Raven/Hilo/DetectFaceInfos&id=Raven/ServerPrefixForHilo,
2013-05-27 10:26:45.7874,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Hilo/DetectFaceInfos', update: True, ",
2013-05-27 10:26:45.7874,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 9 because: PUT Raven/Hilo/DetectFaceInfos,
2013-05-27 10:26:45.7874,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Hilo/DetectFaceInfos with etag 00000001-0000-0400-0000-000000000005,
2013-05-27 10:26:45.7874,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 9, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:45.7874,Raven.Database.Server.HttpServer,Debug,,Request #  10: PUT     -     2 ms - <system>   - 201 - /docs/Raven/Hilo/DetectFaceInfos,
2013-05-27 10:26:45.7874,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000004: (Raven/Hilo/DetectFaceInfos),
2013-05-27 10:26:45.7874,Raven.Database.Impl.DocumentRetriever,Debug,,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/DetectFaceInfos,
2013-05-27 10:26:45.7874,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:26:45.7874,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000004: (Raven/Hilo/DetectFaceInfos)",
2013-05-27 10:26:45.7874,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Hilo/DetectFaceInfos),
2013-05-27 10:26:45.7874,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-05-27 10:26:45.7874,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000005 for Raven/DocumentsByEntityName",
2013-05-27 10:26:45.7874,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 10 because: WORK BY IndexingExecuter,
2013-05-27 10:26:45.7874,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 10, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:45.7874,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 10, for: IndexingExecuter, will wait for additional work",
2013-05-27 10:26:46.0684,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'DetectFaceInfos/97', update: False, ",
2013-05-27 10:26:46.0684,Raven.Database.DocumentDatabase,Debug,<system>,Put document DetectFaceInfos/97 with etag 00000001-0000-0400-0000-000000000006,
2013-05-27 10:26:46.0684,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 11 because: PUT DetectFaceInfos/97,
2013-05-27 10:26:46.0684,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0013304,
2013-05-27 10:26:46.0684,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000005: (DetectFaceInfos/97),
2013-05-27 10:26:46.0684,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 11, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:46.0684,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:26:46.0684,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000005: (DetectFaceInfos/97)",
2013-05-27 10:26:46.0684,Raven.Database.Server.HttpServer,Debug,,Request #  11: POST    -     2 ms - <system>   - 200 - /bulk_docs,
2013-05-27 10:26:46.0684,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (DetectFaceInfos/97),
2013-05-27 10:26:46.0684,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on DetectFaceInfos/97 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: detectfaceinfos/97
	Tag I-: DetectFaceInfos
	LastModified I-: 2013-05-27T02:26:46.0684794Z
",
2013-05-27 10:26:46.0684,Raven.Database.Server.HttpServer,Debug,,"	PUT DetectFaceInfos/97
",
2013-05-27 10:26:46.1294,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-27 10:26:46.1294,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000006 for Raven/DocumentsByEntityName",
2013-05-27 10:26:46.1294,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 12 because: WORK BY IndexingExecuter,
2013-05-27 10:26:46.1294,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 12, for: IndexingExecuter, will wait for additional work",
2013-05-27 10:26:46.1294,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 12, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:46.3724,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'DetectFaceInfos/98', update: False, ",
2013-05-27 10:26:46.3724,Raven.Database.DocumentDatabase,Debug,<system>,Put document DetectFaceInfos/98 with etag 00000001-0000-0400-0000-000000000007,
2013-05-27 10:26:46.3724,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 13 because: PUT DetectFaceInfos/98,
2013-05-27 10:26:46.3724,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0009215,
2013-05-27 10:26:46.3724,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 13, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:46.3724,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000006: (DetectFaceInfos/98),
2013-05-27 10:26:46.3724,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:26:46.3724,Raven.Database.Server.HttpServer,Debug,,Request #  12: POST    -     2 ms - <system>   - 200 - /bulk_docs,
2013-05-27 10:26:46.3724,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000006: (DetectFaceInfos/98)",
